instrument,ts,bid,ask,mid
EUR_USD,1768903330.0,1.17271,1.17289,1.17280
EUR_USD,1768903335.0,1.17269,1.17286,1.17278
EUR_USD,1768903340.0,1.17269,1.17286,1.17278
EUR_USD,1768903345.0,1.17266,1.17282,1.17274
EUR_USD,1768903350.0,1.17263,1.17278,1.17271
EUR_USD,1768903355.0,1.17265,1.17280,1.17273
EUR_USD,1768903360.0,1.17263,1.17279,1.17271
EUR_USD,1768903365.0,1.17268,1.17284,1.17276
EUR_USD,1768903370.0,1.17266,1.17282,1.17274
EUR_USD,1768903375.0,1.17266,1.17283,1.17274
EUR_USD,1768903380.0,1.17269,1.17285,1.17277
EUR_USD,1768903385.0,1.17262,1.17279,1.17271
EUR_USD,1768903390.0,1.17271,1.17287,1.17279
EUR_USD,1768903395.0,1.17268,1.17283,1.17275
EUR_USD,1768903400.0,1.17269,1.17285,1.17277
EUR_USD,1768903405.0,1.17270,1.17288,1.17279
EUR_USD,1768903410.0,1.17271,1.17288,1.17279
EUR_USD,1768903415.0,1.17268,1.17286,1.17277
EUR_USD,1768903420.0,1.17272,1.17289,1.17280
EUR_USD,1768903425.0,1.17262,1.17278,1.17270
EUR_USD,1768903430.0,1.17263,1.17279,1.17271
EUR_USD,1768903435.0,1.17268,1.17285,1.17277
EUR_USD,1768903440.0,1.17267,1.17284,1.17275
EUR_USD,1768903445.0,1.17267,1.17283,1.17275
EUR_USD,1768903450.0,1.17260,1.17275,1.17267
EUR_USD,1768903455.0,1.17263,1.17279,1.17271
EUR_USD,1768903460.0,1.17263,1.17279,1.17271
EUR_USD,1768903465.0,1.17260,1.17276,1.17268
EUR_USD,1768903470.0,1.17261,1.17277,1.17269
EUR_USD,1768903475.0,1.17253,1.17269,1.17261
EUR_USD,1768903480.0,1.17251,1.17267,1.17259
EUR_USD,1768903485.0,1.17266,1.17282,1.17274
EUR_USD,1768903490.0,1.17277,1.17295,1.17286
EUR_USD,1768903495.0,1.17273,1.17291,1.17282
EUR_USD,1768903500.0,1.17264,1.17281,1.17272
EUR_USD,1768903505.0,1.17264,1.17282,1.17273
EUR_USD,1768903510.0,1.17266,1.17282,1.17274
EUR_USD,1768903515.0,1.17262,1.17279,1.17271
EUR_USD,1768903520.0,1.17262,1.17278,1.17270
EUR_USD,1768903525.0,1.17263,1.17279,1.17271
EUR_USD,1768903530.0,1.17261,1.17279,1.17270
EUR_USD,1768903535.0,1.17260,1.17278,1.17269
EUR_USD,1768903540.0,1.17260,1.17277,1.17268
EUR_USD,1768903545.0,1.17260,1.17277,1.17268
EUR_USD,1768903550.0,1.17262,1.17278,1.17270
EUR_USD,1768903555.0,1.17262,1.17278,1.17270
EUR_USD,1768903560.0,1.17275,1.17292,1.17284
EUR_USD,1768903565.0,1.17274,1.17291,1.17283
EUR_USD,1768903570.0,1.17273,1.17290,1.17281
EUR_USD,1768903575.0,1.17274,1.17290,1.17282
EUR_USD,1768903580.0,1.17281,1.17296,1.17288
EUR_USD,1768903585.0,1.17281,1.17298,1.17290
EUR_USD,1768903590.0,1.17283,1.17299,1.17291
EUR_USD,1768903595.0,1.17284,1.17300,1.17292
EUR_USD,1768903600.0,1.17277,1.17294,1.17286
EUR_USD,1768903605.0,1.17276,1.17293,1.17285
EUR_USD,1768903610.0,1.17272,1.17289,1.17280
EUR_USD,1768903615.0,1.17271,1.17289,1.17280
EUR_USD,1768903620.0,1.17277,1.17293,1.17285
EUR_USD,1768903625.0,1.17280,1.17297,1.17288
EUR_USD,1768903630.0,1.17282,1.17298,1.17290
EUR_USD,1768903635.0,1.17282,1.17298,1.17290
EUR_USD,1768903640.0,1.17280,1.17296,1.17288
EUR_USD,1768903645.0,1.17282,1.17297,1.17290
EUR_USD,1768903650.0,1.17293,1.17308,1.17300
EUR_USD,1768903655.0,1.17288,1.17305,1.17297
EUR_USD,1768903660.0,1.17298,1.17315,1.17306
EUR_USD,1768903665.0,1.17292,1.17309,1.17300
EUR_USD,1768903670.0,1.17295,1.17312,1.17304
EUR_USD,1768903675.0,1.17297,1.17313,1.17305
EUR_USD,1768903680.0,1.17297,1.17314,1.17306
EUR_USD,1768903685.0,1.17289,1.17307,1.17298
EUR_USD,1768903690.0,1.17288,1.17304,1.17296
EUR_USD,1768903695.0,1.17287,1.17302,1.17294
EUR_USD,1768903700.0,1.17284,1.17301,1.17293
EUR_USD,1768903705.0,1.17284,1.17301,1.17293
EUR_USD,1768903710.0,1.17285,1.17300,1.17292
EUR_USD,1768903715.0,1.17280,1.17298,1.17289
EUR_USD,1768903720.0,1.17282,1.17299,1.17291
EUR_USD,1768903725.0,1.17280,1.17297,1.17288
EUR_USD,1768903730.0,1.17280,1.17296,1.17288
EUR_USD,1768903735.0,1.17278,1.17295,1.17286
EUR_USD,1768903740.0,1.17282,1.17297,1.17290
EUR_USD,1768903745.0,1.17278,1.17295,1.17286
EUR_USD,1768903750.0,1.17280,1.17296,1.17288
EUR_USD,1768903755.0,1.17280,1.17296,1.17288
EUR_USD,1768903760.0,1.17280,1.17295,1.17287
