valid,tau,mfe,mae,speed,early_impulse,efficiency,risk_ratio,extension,drawdown_ratio,direction,timestamp_start,opportunity_id,composite_score,rank
True,2,3.2999999999994145,0.20000000000131024,1.25,1.0,0.8918918918912431,15.71428571418488,1.3199999999997658,0.0800000000005241,LONG,2024-01-15T12:02:00.000000000Z,2024-01-15T12:02:00.000000000Z_LONG,0.5166103502492989,77
True,4,4.199999999998649,0.0,0.625,1.0,1.0,419.99999999986494,1.6799999999994597,0.0,SHORT,2024-01-15T12:53:00.000000000Z,2024-01-15T12:53:00.000000000Z_SHORT,0.5143444605708071,78
True,3,3.1999999999987594,0.0,0.8333333333333334,1.0,1.0,319.9999999998759,1.2799999999995038,0.0,SHORT,2024-01-15T11:43:00.000000000Z,2024-01-15T11:43:00.000000000Z_SHORT,0.5141751330429992,79
True,4,4.100000000000215,0.0,0.625,1.0,1.0,410.00000000002143,1.6400000000000858,0.0,SHORT,2024-01-15T11:48:00.000000000Z,2024-01-15T11:48:00.000000000Z_SHORT,0.5117803580067454,80
True,3,3.1000000000003247,0.0,0.8333333333333334,1.0,1.0,310.00000000003246,1.2400000000001299,0.0,SHORT,2024-01-15T10:07:00.000000000Z,2024-01-15T10:07:00.000000000Z_SHORT,0.5116110304789375,81
True,3,3.1000000000003247,0.0,0.8333333333333334,1.0,1.0,310.00000000003246,1.2400000000001299,0.0,SHORT,2024-01-15T10:15:00.000000000Z,2024-01-15T10:15:00.000000000Z_SHORT,0.5116110304789375,82
True,4,4.00000000000178,0.0,0.625,1.0,1.0,400.000000000178,1.600000000000712,0.0,LONG,2024-01-15T10:47:00.000000000Z,2024-01-15T10:47:00.000000000Z_LONG,0.5092162554426837,83
True,3,2.9999999999996696,0.0,0.8333333333333334,1.0,1.0,299.999999999967,1.1999999999998678,0.0,LONG,2024-01-15T09:52:00.000000000Z,2024-01-15T09:52:00.000000000Z_LONG,0.5090469279148189,84
True,3,2.900000000001235,0.0,0.8333333333333334,1.0,1.0,290.00000000012346,1.160000000000494,0.0,LONG,2024-01-15T15:46:00.000000000Z,2024-01-15T15:46:00.000000000Z_LONG,0.5064828253507572,85
True,3,2.8999999999990145,0.0,0.8333333333333334,1.0,1.0,289.99999999990143,1.1599999999996058,0.0,SHORT,2024-01-15T10:14:00.000000000Z,2024-01-15T10:14:00.000000000Z_SHORT,0.5064828253507002,86
True,3,2.80000000000058,0.0,0.8333333333333334,1.0,1.0,280.000000000058,1.120000000000232,0.0,LONG,2024-01-15T12:11:00.000000000Z,2024-01-15T12:11:00.000000000Z_LONG,0.5039187227866385,87
True,3,2.80000000000058,0.0,0.8333333333333334,1.0,1.0,280.000000000058,1.120000000000232,0.0,LONG,2024-01-15T12:46:00.000000000Z,2024-01-15T12:46:00.000000000Z_LONG,0.5039187227866385,88
